product_id,Carat ,Colour,Clarity,Shape,Cut ,Symmetry ,Polish ,Floresc,Cert_No ,Grading ,Price,Category,Image,Title,Description,Focus_Keyword,SEO_Title,Meta_Description,View
,3.5,BROWNISH ORANGE , ,Round ,,,,,ID17034128M ,GEM LAB ,25900,Loose Diamonds,Round -01.png,3.5ct BROWNISH ORANGE    Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,3.5ct,3.5ct BROWNISH ORANGE    Round  Cut Diamond | The Diamond Shoppe | South Africa,3.5ct BROWNISH ORANGE    Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.62,C4 ,SI2 ,Round ,Excellent,,,,150220094/200730 ,EGL ,16500,Loose Diamonds,Round -01.png,0.62ct C4  SI2  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.62ct,0.62ct C4  SI2  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.62ct C4  SI2  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.76,C5 DARK CHAMP ,SI2 ,Oval ,,,,,200910268/130411 ,EGL ,15000,Loose Diamonds,Oval -01.png,0.76ct C5 DARK CHAMP  SI2  Oval  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.76ct,0.76ct C5 DARK CHAMP  SI2  Oval  Cut Diamond | The Diamond Shoppe | South Africa,0.76ct C5 DARK CHAMP  SI2  Oval  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,1.01,Cognac ,SI2 ,Cushion ,,,,,181012368/123276 ,EGL ,19200,Loose Diamonds,Cushion -01.png,1.01ct Cognac  SI2  Cushion  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,1.01ct,1.01ct Cognac  SI2  Cushion  Cut Diamond | The Diamond Shoppe | South Africa,1.01ct Cognac  SI2  Cushion  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.33,D ,I1 ,Pear ,,,,,180610922/121121 ,EGL ,5400,Loose Diamonds,Pear -01.png,0.33ct D  I1  Pear  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.33ct,0.33ct D  I1  Pear  Cut Diamond | The Diamond Shoppe | South Africa,0.33ct D  I1  Pear  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.36,D ,I1 ,Round ,,,,,20120268/131283 ,EGL ,7800,Loose Diamonds,Round -01.png,0.36ct D  I1  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.36ct,0.36ct D  I1  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.36ct D  I1  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.54,D ,I1 ,Round ,Excellent,,,,200710693/130023 ,EGL ,17200,Loose Diamonds,Round -01.png,0.54ct D  I1  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.54ct,0.54ct D  I1  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.54ct D  I1  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.43,D ,I3 ,Round ,,,,, , ,3200,Loose Diamonds,Round -01.png,0.43ct D  I3  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.43ct,0.43ct D  I3  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.43ct D  I3  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.2,D ,SI1 ,Oval ,,,,,200110596/128662 ,EGL ,3500,Loose Diamonds,Oval -01.png,0.2ct D  SI1  Oval  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.2ct,0.2ct D  SI1  Oval  Cut Diamond | The Diamond Shoppe | South Africa,0.2ct D  SI1  Oval  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.58,D ,SI1 ,Oval ,,,,,191011119/127757 ,EGL ,22400,Loose Diamonds,Oval -01.png,0.58ct D  SI1  Oval  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.58ct,0.58ct D  SI1  Oval  Cut Diamond | The Diamond Shoppe | South Africa,0.58ct D  SI1  Oval  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.33,D ,SI1 ,Round ,,,,,200910266/130411 ,EGL ,9500,Loose Diamonds,Round -01.png,0.33ct D  SI1  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.33ct,0.33ct D  SI1  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.33ct D  SI1  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,1.54,D ,SI1 ,Round ,Excellent,,,,200111434/128875 ,EGL ,237200,Loose Diamonds,Round -01.png,1.54ct D  SI1  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,1.54ct,1.54ct D  SI1  Round  Cut Diamond | The Diamond Shoppe | South Africa,1.54ct D  SI1  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,1.08,D ,SI2 ,Cushion ,,Very Good,Excellent,None,6312520879,GIA ,84800,Loose Diamonds,Cushion -01.png,1.08ct D  SI2  Cushion  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,1.08ct,1.08ct D  SI2  Cushion  Cut Diamond | The Diamond Shoppe | South Africa,1.08ct D  SI2  Cushion  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.31,D ,SI2 ,Round ,,,,,200111392/128856 ,EGL ,7900,Loose Diamonds,Round -01.png,0.31ct D  SI2  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.31ct,0.31ct D  SI2  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.31ct D  SI2  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.3,D ,VS1 ,Round ,,,,,191110929/128139 ,EGL ,10100,Loose Diamonds,Round -01.png,0.3ct D  VS1  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.3ct,0.3ct D  VS1  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.3ct D  VS1  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.59,E ,I1 ,Oval ,,,,,200310275/129336 ,EGL ,16700,Loose Diamonds,Oval -01.png,0.59ct E  I1  Oval  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.59ct,0.59ct E  I1  Oval  Cut Diamond | The Diamond Shoppe | South Africa,0.59ct E  I1  Oval  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.37,E ,I2 ,Oval ,,,,,200310274/129336 ,EGL ,5100,Loose Diamonds,Oval -01.png,0.37ct E  I2  Oval  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.37ct,0.37ct E  I2  Oval  Cut Diamond | The Diamond Shoppe | South Africa,0.37ct E  I2  Oval  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.36,E ,I2 ,Round ,,,,,190211759/124841 ,EGL ,7300,Loose Diamonds,Round -01.png,0.36ct E  I2  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.36ct,0.36ct E  I2  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.36ct E  I2  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.1,E ,SI1 ,Round ,,,,,200910252/130410 ,EGL ,1200,Loose Diamonds,Round -01.png,0.1ct E  SI1  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.1ct,0.1ct E  SI1  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.1ct E  SI1  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.34,E ,SI2 ,Pear ,,,,,191110932/128140 ,EGL ,7300,Loose Diamonds,Pear -01.png,0.34ct E  SI2  Pear  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.34ct,0.34ct E  SI2  Pear  Cut Diamond | The Diamond Shoppe | South Africa,0.34ct E  SI2  Pear  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.26,E ,SI2 ,Round ,,,,,200110560/128660 ,EGL ,3900,Loose Diamonds,Round -01.png,0.26ct E  SI2  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.26ct,0.26ct E  SI2  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.26ct E  SI2  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.66,E ,SI3 ,Oval ,,,,,200310285/129336 ,EGL ,17400,Loose Diamonds,Oval -01.png,0.66ct E  SI3  Oval  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.66ct,0.66ct E  SI3  Oval  Cut Diamond | The Diamond Shoppe | South Africa,0.66ct E  SI3  Oval  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.21,E ,SI3 ,Round ,,,,,200111379/128856 ,EGL ,2100,Loose Diamonds,Round -01.png,0.21ct E  SI3  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.21ct,0.21ct E  SI3  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.21ct E  SI3  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,1.02,F ,I1 ,Cushion ,,Very Good,Excellent,Medium,2316335676,GIA ,67100,Loose Diamonds,Cushion -01.png,1.02ct F  I1  Cushion  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,1.02ct,1.02ct F  I1  Cushion  Cut Diamond | The Diamond Shoppe | South Africa,1.02ct F  I1  Cushion  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.51,F ,I1 ,Radiant ,,,,,200110557/128660 ,EGL ,10200,Loose Diamonds,Radiant -01.png,0.51ct F  I1  Radiant  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.51ct,0.51ct F  I1  Radiant  Cut Diamond | The Diamond Shoppe | South Africa,0.51ct F  I1  Radiant  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.12,F ,I1 ,Round ,,,,,200910251/130410 ,EGL ,1000,Loose Diamonds,Round -01.png,0.12ct F  I1  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.12ct,0.12ct F  I1  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.12ct F  I1  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.44,F ,I1 ,Round ,Excellent,,,,210310537/132045 ,EGL ,9700,Loose Diamonds,Round -01.png,0.44ct F  I1  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.44ct,0.44ct F  I1  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.44ct F  I1  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.31,F ,SI1 ,Round ,,,,,191110956/128140 ,EGL ,8400,Loose Diamonds,Round -01.png,0.31ct F  SI1  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.31ct,0.31ct F  SI1  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.31ct F  SI1  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.32,F ,SI1 ,Round ,,,,,191110987/128143 ,EGL ,8700,Loose Diamonds,Round -01.png,0.32ct F  SI1  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.32ct,0.32ct F  SI1  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.32ct F  SI1  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.33,F ,SI2 ,Pear ,,,,,190911179/127427 ,EGL ,6200,Loose Diamonds,Pear -01.png,0.33ct F  SI2  Pear  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.33ct,0.33ct F  SI2  Pear  Cut Diamond | The Diamond Shoppe | South Africa,0.33ct F  SI2  Pear  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.54,F ,SI2 ,Princess ,,Very Good,Very Good,,201010425/130764 ,EGL ,15500,Loose Diamonds,Princess -01.png,0.54ct F  SI2  Princess  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.54ct,0.54ct F  SI2  Princess  Cut Diamond | The Diamond Shoppe | South Africa,0.54ct F  SI2  Princess  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.92,F ,SI2 ,Radiant ,,,,,201210262/131283 ,EGL ,52500,Loose Diamonds,Radiant -01.png,0.92ct F  SI2  Radiant  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.92ct,0.92ct F  SI2  Radiant  Cut Diamond | The Diamond Shoppe | South Africa,0.92ct F  SI2  Radiant  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.1,F ,SI2 ,Round ,,,,,200910237/130409 ,EGL ,1000,Loose Diamonds,Round -01.png,0.1ct F  SI2  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.1ct,0.1ct F  SI2  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.1ct F  SI2  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.1,F ,SI2 ,Round ,,,,,200910239/130409 ,EGL ,1000,Loose Diamonds,Round -01.png,0.1ct F  SI2  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.1ct,0.1ct F  SI2  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.1ct F  SI2  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.16,F ,SI2 ,Round ,,,,,200910236/130409 ,EGL ,1800,Loose Diamonds,Round -01.png,0.16ct F  SI2  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.16ct,0.16ct F  SI2  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.16ct F  SI2  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.27,F ,SI2 ,Round ,,,,,19110988/128143 ,EGL ,3700,Loose Diamonds,Round -01.png,0.27ct F  SI2  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.27ct,0.27ct F  SI2  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.27ct F  SI2  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.32,F ,SI2 ,Round ,,,,,190610691/126212 ,EGL ,7300,Loose Diamonds,Round -01.png,0.32ct F  SI2  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.32ct,0.32ct F  SI2  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.32ct F  SI2  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.4,F ,SI2 ,Round ,Very Good,,,,191110925/128138 ,EGL ,10900,Loose Diamonds,Round -01.png,0.4ct F  SI2  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.4ct,0.4ct F  SI2  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.4ct F  SI2  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.33,F ,SI3 ,Round ,,,,,200910396/130459 ,EGL ,6700,Loose Diamonds,Round -01.png,0.33ct F  SI3  Round  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.33ct,0.33ct F  SI3  Round  Cut Diamond | The Diamond Shoppe | South Africa,0.33ct F  SI3  Round  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.69,F ,SI3 ,Trillion ,,,,,200710711/130023 ,EGL ,21000,Loose Diamonds,Trillion -01.png,0.69ct F  SI3  Trillion  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.69ct,0.69ct F  SI3  Trillion  Cut Diamond | The Diamond Shoppe | South Africa,0.69ct F  SI3  Trillion  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.17,F ,VS1 ,Marquise ,,,,,190410763/125444 ,EGL ,2600,Loose Diamonds,Marquise -01.png,0.17ct F  VS1  Marquise  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.17ct,0.17ct F  VS1  Marquise  Cut Diamond | The Diamond Shoppe | South Africa,0.17ct F  VS1  Marquise  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
,0.56,F ,VS2 ,Emerald ,,Very Good,Very Good,,201010427/130764 ,EGL ,19200,Loose Diamonds,Emerald -01.png,0.56ct F  VS2  Emerald  Cut,All of our diamonds are certified by either GIA or EGL South Africa. We use these certificates because both laboratories are industry leaders in diamond grading. Our stones are also cut from locally sourced rough diamonds. The rough diamonds are cut and polished to the highest standard in our very own world class diamond cutting factory - this means you are guaranteed that your diamond is not second hand or imported. Free shipping in South Africa. ,0.56ct,0.56ct F  VS2  Emerald  Cut Diamond | The Diamond Shoppe | South Africa,0.56ct F  VS2  Emerald  Cut| Premium Quality Loose Diamonds cut and polished to perfection in our state-of-the-art factory in Cape Town.,View
